2,2,2,34,2,39,15,19,1,36,1,30,30,28,28,28,28,28
2,2,1,1,2,2,2,21,19,2,1,3,31,1,1,30,28,28
2,1,3,1,3,34,1,3,27,2,39,3,31,1,34,1,1,28
1,1,1,1,2,1,1,3,34,2,28,2,31,31,3,1,3,1
1,1,34,112,15,15,15,19,3,1,3,32,31,31,1,2,1,34
34,3,1,3,1,3,42,20,1,1,1,32,2,34,19,3,1,1
29,3,1,2,1,1,16,1,2,3,1,32,30,112,25,15,133,3
30,30,30,34,2,34,20,1,18,112,34,3,30,30,27,30,112,1
1,112,29,27,29,29,3,34,112,20,1,18,34,2,34,29,29,29
3,133,15,23,112,29,31,1,3,2,1,16,1,1,2,1,3,30
1,1,3,21,34,2,31,1,1,1,18,167,3,1,3,1,3,34
34,1,2,1,32,32,31,3,1,3,21,15,15,15,112,34,1,1
1,3,1,3,32,32,2,28,2,34,3,1,1,2,1,1,1,1
28,1,1,34,1,32,3,164,2,27,3,1,34,3,1,3,1,2
28,28,29,1,1,32,3,1,2,21,19,2,2,2,1,1,2,2
28,28,28,28,28,29,29,1,36,1,21,15,164,2,34,2,2,2
